SEARCH,RESPONSE,CATEGORY
walk,pace,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walker,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,ambling,walk
,,,paces,walk
,,,pacing,walk
,,,walked,walk
,,,walking,walk
,,,walking stick,walk
walk,walker,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walker,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,ambling,walk
,,,paces,walk
,,,pacing,walk
,,,walked,walk
,,,walking,walk
,,,walking stick,walk
walk,pace yourself,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walker,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,ambling,walk
,,,paces,walk
,,,pacing,walk
,,,walked,walk
,,,walking,walk
,,,walking stick,walk
walk,walk hard,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walker,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,ambling,walk
,,,paces,walk
,,,pacing,walk
,,,walked,walk
,,,walking,walk
,,,walking stick,walk
walk,ambling,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,ambling,walk
,,,pace,walk
,,,pace yourself,walk
,,,walk hard,walk
walk,paces,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,paces,walk
,,,pacing,walk
,,,pace yourself,walk
,,,walk hard,walk
walk,pacing,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,paces,walk
,,,pacing,walk
,,,pace yourself,walk
,,,walk hard,walk
walk,walked,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walked,walk
,,,walking,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,walking stick,walk
walk,walking,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walked,walk
,,,walking,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,walking stick,walk
walk,walking stick,walk,RESULTS FROM SEARCH,CATEGORY RESULTS
,,,pace,walk
,,,walked,walk
,,,walking,walk
,,,pace yourself,walk
,,,walk hard,walk
,,,walking stick,walk
